,2000_title_%,2000_abstract_%,2001_title_%,2001_abstract_%,2002_title_%,2002_abstract_%,2003_title_%,2003_abstract_%,2004_title_%,2004_abstract_%,2005_title_%,2005_abstract_%,2006_title_%,2006_abstract_%,2007_title_%,2007_abstract_%,2008_title_%,2008_abstract_%,2009_title_%,2009_abstract_%,2010_title_%,2010_abstract_%,2011_title_%,2011_abstract_%,2012_title_%,2012_abstract_%,2013_title_%,2013_abstract_%,2014_title_%,2014_abstract_%,2015_title_%,2015_abstract_%,2016_title_%,2016_abstract_%,2017_title_%,2017_abstract_%,2018_title_%,2018_abstract_%,2019_title_%,2019_abstract_%,2021_title_%,2021_abstract_%
algorithm,,,,,,,,,,,,,0.02,0.84,0.04,0.73,,0.87,,0.53,0.03,0.7,0.06,0.79,0.08,0.64,,1.18,0.05,0.88,0.06,0.98,0.02,0.89,0.05,0.75,0.05,2.1,,,,
big data,,,,,,,,,,,,,,0.02,,,,,,,,,,0.04,0.02,0.02,0.24,0.49,0.35,1.09,0.26,0.89,0.25,1.09,0.22,0.88,0.4,1.65,,,,
beautifulsoup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
computation,,,,,0.77,,,,,,,0.15,0.17,1.14,0.17,0.93,0.18,1.18,0.09,0.95,0.08,0.61,0.09,0.86,0.05,0.74,0.12,0.91,0.05,0.85,0.04,0.88,0.29,0.6,0.1,0.65,,1.2,,,,
computational,,1.69,0.81,,,0.77,1.81,,0.91,1.22,0.15,1.24,0.61,3.72,0.67,4.06,0.78,4.3,0.36,4.14,0.46,3.87,0.34,4.15,0.38,3.19,0.36,3.8,0.36,3.57,0.35,4.31,0.52,4.65,0.42,4.07,0.65,6.3,,33.33,,
computed,,,,,,,,,,,,,,0.3,,0.36,,0.31,0.02,0.38,,0.34,0.06,0.43,,0.48,0.03,0.33,0.03,0.35,,0.28,0.02,0.29,0.05,0.43,,0.5,,,,
computer,,1.69,,0.81,,,,0.6,,1.83,0.15,2.16,0.38,7.85,0.24,7.18,0.26,7.13,0.13,6.02,0.36,5.98,0.23,5.72,0.13,6.17,0.14,6.2,0.17,5.15,0.13,4.82,0.12,5.88,0.05,4.66,0.1,7.05,,,,
computing,,,,,,,0.6,,,,,0.46,0.5,3.03,0.39,2.41,0.46,2.85,0.33,2.22,0.22,2.31,0.45,2.89,0.12,2.95,0.16,2.36,0.26,3.0,0.27,2.69,0.14,3.06,0.12,2.67,0.4,4.2,,,,
data analysis,,,,,,,,,,0.3,0.15,0.15,0.11,0.42,0.02,0.75,0.04,0.92,0.05,0.67,0.02,1.04,0.04,0.68,0.02,1.09,0.06,0.85,0.06,1.08,0.07,1.02,0.06,1.09,0.03,0.95,0.35,1.55,,16.67,,
data base,,,,,,,,,,,,,,0.06,,0.06,,0.04,,0.11,,0.12,,0.06,,0.1,,0.09,,0.08,,0.03,,0.04,,0.03,,0.05,,,,
database,,,,0.81,0.77,,,0.6,,,,0.31,0.15,1.43,0.04,1.87,0.17,2.14,0.09,1.57,0.14,1.63,0.06,1.67,0.23,1.89,0.09,1.94,0.11,2.14,0.11,1.56,0.1,2.08,0.1,1.9,0.05,2.1,,,,
microsoft excel,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,
ms excel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fortran,,,,,,,,,,,,,0.02,0.02,,0.04,,0.02,,,,,,0.06,,0.02,,0.07,,,,0.01,,,,0.02,,,,,,
geographic information science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,
geographic information systems,,,,,,,,,,,,,,0.02,,,,0.07,0.02,,,,,,,0.03,,0.04,,,,0.01,,0.06,,0.03,,0.1,,,,
gis,,,,,,,,,,,,,0.04,0.17,0.02,0.15,,0.15,0.07,0.26,,0.25,,0.23,,0.16,,0.27,0.02,0.15,0.01,0.2,,0.35,,0.18,0.05,0.25,,,,
git,,,,,,,,,,,,,,0.04,,0.02,,,,0.04,,0.02,,0.02,,,,,,,,,,,,0.02,,,,,,
