,all funders software spend,all funders spend,software spend as percentage of spend on all grants,AHRC total spend,AHRC software spend,AHRC software spend %,BBSRC total spend,BBSRC software spend,BBSRC software spend %,EPSRC total spend,EPSRC software spend,EPSRC software spend %,ESRC total spend,ESRC software spend,ESRC software spend %,Innovate UK total spend,Innovate UK software spend,Innovate UK software spend %,MRC total spend,MRC software spend,MRC software spend %,NC3Rs total spend,NC3Rs software spend,NC3Rs software spend %,NERC total spend,NERC software spend,NERC software spend %,STFC total spend,STFC software spend,STFC software spend %
2000,272763.4375,4041754.4993992117,6.75,,,,,,,,,,,,,,,,4041754.499399212,272763.4375,6.75,,,,,,,,,
2001,272763.4375,19838414.41336025,1.37,,,,,,,,,,,,,2633948.0714285714,,,17204466.34193168,272763.4375,1.59,,,,,,,,,
2002,444411.7517857143,31481626.641931675,1.41,,,,,,,,,,,,,2861766.404761905,,,28619860.237169772,444411.7517857143,1.55,,,,,,,,,
2003,832388.0517857142,52198687.90066183,1.59,,,,,,,,,,,,,12662569.72142857,116890.0,0.92,39218487.35978882,715498.0517857142,1.82,,,,,,,317630.81944444444,,
2004,1300544.926785714,75919379.72566183,1.71,,,,,,,,,,,,,16108248.788095238,154820.8,0.96,57449344.96931263,1116672.8351190477,1.94,,,,,,,2361785.9682539683,29051.291666666668,1.23
2005,7402655.107738095,139371418.99709037,5.31,,,,,,,,,,,,,38091266.98809524,3171517.4,8.33,94857092.38836025,3355098.6351190475,3.54,,,,,,,6423059.620634921,876039.0726190477,13.64
2006,125197233.07956348,563485066.648389,22.22,16623342.94047619,2215582.8833333333,13.33,62146067.43571428,6068299.016666668,9.76,161098038.52153677,70059939.40515873,43.49,27279888.745238096,4376579.378571428,16.04,80246691.56309524,6730033.076190476,8.39,141676448.3645507,6520697.744642857,4.6,,,,29785137.45238095,8009703.935714285,26.89,44629451.625396825,21216397.639285713,47.54
2007,234205553.3402778,970866599.4010142,24.12,36346218.157142855,7712920.833333333,21.22,132481814.88690475,19312965.26666667,14.58,312315424.3489177,125578694.46349205,40.21,62854234.5,10478909.628571428,16.67,116360460.89404762,9956287.942857143,8.56,178345768.43185842,9117543.708928572,5.11,,,,58726823.956746034,19126625.10714286,32.57,73435854.22539683,32921606.389285717,44.83
2008,369430787.3411637,1381989117.3698657,26.73,43772353.172619045,10598277.441666666,24.21,191460281.77261907,34296010.67142857,17.91,476321537.05396825,204562332.96587303,42.95,102789343.48571429,18433424.32619048,17.93,149107415.1392857,13271185.60952381,8.9,218220201.9207473,14678369.080357142,6.73,619980.25,133139.75,21.47,87410469.29572721,29682178.55802879,33.96,112287535.2791847,43775868.93809524,38.99
2009,455772475.97211605,1752384885.6762872,26.01,45499054.17738095,11114885.813095238,24.43,239646343.32380956,43016798.39285715,17.95,628793190.8568182,244836545.8515873,38.94,120025970.29047619,22167026.409523807,18.47,196984764.76785713,20755955.60952381,10.54,250872293.82352507,18103277.849404763,7.22,1698217.3499999999,133139.75,7.84,116552555.32667959,35331468.45802879,30.31,152312495.75974026,60313377.83809523,39.6
2010,525478850.71988034,1965785501.7930987,26.73,67430322.18690476,13592935.679761905,20.16,255268412.33333334,51690808.942857146,20.25,728009012.13658,290471718.05277777,39.9,126923478.56111111,20834820.442857143,16.42,233462518.35833335,28015208.842857145,12.0,273173984.54376316,19110222.989880953,7.0,3108534.883333333,133139.75,4.28,138037832.73952317,46715315.91412635,33.84,140371406.05021644,54914680.104761906,39.12
2011,537351240.6107894,2050113399.4143472,26.21,68847241.89404762,12232089.296428572,17.77,243159103.29166666,51019332.39285714,20.98,736464555.708189,298941905.2758297,40.59,168297919.03531748,18602706.59285714,11.05,270847877.075,34743051.45952381,12.83,277328663.9882437,19798832.706547618,7.14,4131887.583333333,133139.75,3.22,150065914.97047555,52859801.33198349,35.22,130970235.86807358,49020381.8047619,37.43
2012,585026934.5965037,2194270368.194253,26.66,71297654.49404761,12795708.729761906,17.95,253856005.73809522,52734022.626190476,20.77,749248602.704834,312811917.4817821,41.75,168665480.05912697,21155471.742857143,12.54,359036845.6988095,40402718.376190476,11.25,284022869.75642556,23833934.96845238,8.39,4814196.733333332,221656.65,4.6,159158249.86333272,56645859.489126354,35.59,144170463.1462482,64425644.53214286,44.69
2013,641035357.8584085,2356239867.970593,27.21,71500063.77023809,15159738.346428571,21.2,252758682.03571433,55820617.17857143,22.08,785885230.687951,343037530.3841631,43.65,178631991.85912699,25265402.67857143,14.14,481373337.87976193,56216483.18333333,11.68,298991640.07345843,36768091.497023806,12.3,5888209.983333333,879872.2333333334,14.94,169438018.8085708,63933387.49388826,37.73,111772692.87243867,43954234.86309524,39.32
2014,712918776.7669778,2561526207.9544983,27.83,73195526.28690475,17940396.54642857,24.51,291409089.5095238,72227010.21190476,24.79,814996863.314863,365042248.81313133,44.79,194292690.409127,34451286.01190476,17.73,582411968.0071429,61611995.41666667,10.58,321168132.36750615,51893919.420833334,16.16,6219967.25,1153059.6666666667,18.54,169340462.76318255,65375848.50682262,38.61,108491508.0462482,43223012.172619045,39.84
2015,797382562.9719923,2832474521.532925,28.15,63202452.69642857,16414617.129761904,25.97,320672434.9424603,77195488.35714287,24.07,856722899.7028139,384069005.91338384,44.83,190445961.33293653,43982703.84761905,23.09,687025261.8571428,77909217.26666667,11.34,421385746.22028387,75498201.4827381,17.92,6154617.05,1206269.9166666667,19.6,161674579.0012778,67396863.55920357,41.69,125190568.72958153,53710195.49880953,42.9
