,AHRC_count,BBSRC_count,EPSRC_count,ESRC_count,MRC_count,NC3Rs_count,NERC_count,STFC_count,Total
algorithm,3.0,38.0,368.0,5.0,11.0,1.0,37.0,20.0,483.0
big data,31.0,11.0,73.0,51.0,5.0,0.0,11.0,12.0,194.0
beautifulsoup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
computation,4.0,31.0,479.0,4.0,5.0,0.0,16.0,8.0,547.0
computational,49.0,473.0,1586.0,68.0,86.0,6.0,136.0,136.0,2540.0
computed,3.0,35.0,121.0,4.0,8.0,1.0,21.0,23.0,216.0
computer,141.0,472.0,1938.0,112.0,121.0,7.0,591.0,224.0,3606.0
computing,53.0,107.0,1039.0,27.0,25.0,0.0,109.0,269.0,1629.0
data analysis,24.0,81.0,136.0,82.0,28.0,0.0,75.0,102.0,528.0
data base,2.0,1.0,5.0,6.0,1.0,0.0,17.0,3.0,35.0
database,231.0,188.0,213.0,122.0,72.0,4.0,209.0,18.0,1057.0
microsoft excel,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ms excel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fortran,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0
geographic information science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geographic information systems,6.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,15.0
gis,40.0,3.0,9.0,23.0,2.0,0.0,48.0,1.0,126.0
git,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
github,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
graphics,15.0,16.0,97.0,5.0,2.0,0.0,3.0,4.0,142.0
high performance computing,1.0,9.0,124.0,1.0,2.0,0.0,13.0,29.0,179.0
hpc,0.0,13.0,135.0,1.0,0.0,0.0,3.0,23.0,175.0
imagej,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
in silico,1.0,35.0,32.0,1.0,8.0,2.0,0.0,0.0,79.0
matlab,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,17.0
matplotlib,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modeling,5.0,63.0,185.0,22.0,13.0,4.0,139.0,22.0,453.0
modelling,67.0,527.0,2416.0,187.0,145.0,11.0,1404.0,184.0,4941.0
numpy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nvivo,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0
open source,21.0,37.0,87.0,11.0,3.0,2.0,25.0,19.0,205.0
open-source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
programming language,2.0,2.0,57.0,0.0,0.0,0.0,4.0,0.0,65.0
python,0.0,0.0,14.0,0.0,0.0,0.0,0.0,8.0,22.0
quantitative analysis,4.0,21.0,28.0,34.0,4.0,0.0,11.0,3.0,105.0
r language,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
scrapy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scipy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulated,4.0,69.0,164.0,20.0,11.0,1.0,159.0,27.0,455.0
simulation,18.0,96.0,1200.0,37.0,22.0,1.0,199.0,86.0,1659.0
software,139.0,363.0,1311.0,98.0,67.0,3.0,179.0,256.0,2416.0
spss,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
sqlalchemy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stata,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0
statistical,46.0,191.0,500.0,223.0,155.0,2.0,266.0,54.0,1437.0
supercomputer,0.0,5.0,51.0,0.0,2.0,0.0,11.0,27.0,96.0
supercomputing,0.0,7.0,27.0,1.0,0.0,0.0,7.0,7.0,49.0
visualisation,70.0,85.0,157.0,20.0,12.0,0.0,47.0,23.0,414.0
visualization,22.0,19.0,68.0,5.0,5.0,0.0,8.0,1.0,128.0
Rcpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ggplot2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plyr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stringr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reshape2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RColorBrewer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
workflow,8.0,20.0,37.0,1.0,3.0,1.0,5.0,9.0,84.0
wxpython,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
