,2000_title_count,2000_abstract_count,2001_title_count,2001_abstract_count,2002_title_count,2002_abstract_count,2003_title_count,2003_abstract_count,2004_title_count,2004_abstract_count,2005_title_count,2005_abstract_count,2006_title_count,2006_abstract_count,2007_title_count,2007_abstract_count,2008_title_count,2008_abstract_count,2009_title_count,2009_abstract_count,2010_title_count,2010_abstract_count,2011_title_count,2011_abstract_count,2012_title_count,2012_abstract_count,2013_title_count,2013_abstract_count,2014_title_count,2014_abstract_count,2015_title_count,2015_abstract_count,2016_title_count,2016_abstract_count,2017_title_count,2017_abstract_count,2018_title_count,2018_abstract_count,2019_title_count,2019_abstract_count
algorithm,,,,,,,,,,,,1.0,17.0,122.0,17.0,164.0,18.0,156.0,11.0,87.0,17.0,123.0,15.0,108.0,14.0,116.0,10.0,175.0,13.0,122.0,11.0,181.0,5.0,132.0,14.0,153.0,,2.0,,1.0
big data,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,10.0,16.0,15.0,46.0,12.0,43.0,6.0,35.0,5.0,37.0,,,,
beautifulsoup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
code,,,,,,1.0,,,,2.0,1.0,11.0,13.0,203.0,9.0,225.0,10.0,221.0,15.0,195.0,6.0,202.0,8.0,141.0,5.0,185.0,19.0,274.0,6.0,191.0,9.0,220.0,11.0,220.0,9.0,228.0,2.0,11.0,,
computation,,,,,,,,,1.0,1.0,1.0,4.0,41.0,220.0,36.0,255.0,45.0,255.0,21.0,233.0,22.0,238.0,16.0,223.0,24.0,224.0,29.0,282.0,15.0,224.0,21.0,315.0,35.0,236.0,21.0,232.0,,6.0,,1.0
computational,,,,,,,,,1.0,1.0,1.0,3.0,28.0,188.0,26.0,217.0,34.0,210.0,17.0,199.0,16.0,217.0,12.0,198.0,21.0,193.0,20.0,233.0,13.0,202.0,19.0,275.0,20.0,216.0,15.0,199.0,,6.0,,1.0
computed,,,,,,,,,,,,,,12.0,,16.0,,19.0,1.0,21.0,,15.0,3.0,20.0,,25.0,2.0,25.0,,18.0,,15.0,1.0,12.0,2.0,19.0,,,,
computer,,,,,,,,1.0,,1.0,,11.0,18.0,445.0,15.0,431.0,12.0,408.0,10.0,348.0,16.0,338.0,5.0,295.0,10.0,362.0,9.0,417.0,10.0,323.0,7.0,313.0,4.0,282.0,5.0,276.0,,5.0,,
data analysis,,,,,,,,,,,1.0,1.0,5.0,20.0,1.0,38.0,2.0,35.0,1.0,30.0,1.0,48.0,2.0,29.0,1.0,55.0,3.0,47.0,1.0,52.0,2.0,59.0,1.0,45.0,2.0,37.0,,,,1.0
data base,,,,,,,,,,,,1.0,,12.0,,11.0,,3.0,,5.0,,11.0,,3.0,,9.0,,13.0,,5.0,,1.0,,4.0,,4.0,,,,
database,,,,,1.0,,,1.0,,,,2.0,9.0,103.0,4.0,121.0,10.0,126.0,6.0,93.0,10.0,108.0,2.0,88.0,9.0,123.0,3.0,134.0,7.0,132.0,8.0,119.0,5.0,118.0,6.0,104.0,,1.0,,
excel,,1.0,,,,1.0,,,,2.0,,3.0,4.0,100.0,7.0,135.0,6.0,129.0,9.0,139.0,4.0,112.0,2.0,90.0,16.0,149.0,4.0,139.0,2.0,122.0,3.0,166.0,,140.0,15.0,139.0,,3.0,,
fortran,,,,,,,,,,,,,1.0,1.0,,3.0,,1.0,,,,,,3.0,,1.0,,5.0,,,,1.0,,,,1.0,,,,
geographic information science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geographic information systems,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,2.0,,3.0,,,,1.0,,2.0,,2.0,,,,
gis,,1.0,,,,,,1.0,,1.0,,9.0,11.0,217.0,9.0,327.0,13.0,320.0,8.0,222.0,10.0,251.0,10.0,202.0,5.0,268.0,5.0,323.0,9.0,266.0,3.0,239.0,4.0,282.0,10.0,229.0,1.0,13.0,,
git,,,,,,,1.0,1.0,,,1.0,5.0,31.0,196.0,40.0,237.0,36.0,226.0,40.0,184.0,27.0,195.0,32.0,160.0,58.0,278.0,61.0,287.0,54.0,272.0,39.0,243.0,40.0,266.0,40.0,286.0,,11.0,,
github,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,
graphics,,,,,,,,,,,,1.0,1.0,14.0,2.0,19.0,1.0,16.0,,16.0,2.0,15.0,1.0,19.0,1.0,24.0,1.0,28.0,2.0,12.0,1.0,16.0,,13.0,1.0,10.0,,,,
high performance computing,,,,,,,,,,,,,,3.0,,9.0,,9.0,,21.0,1.0,17.0,4.0,15.0,2.0,22.0,1.0,18.0,9.0,25.0,3.0,16.0,,7.0,,7.0,,,,
hpc,,,,,,,,,,,,,1.0,4.0,3.0,10.0,1.0,8.0,12.0,16.0,1.0,12.0,7.0,22.0,5.0,26.0,4.0,25.0,2.0,24.0,3.0,11.0,3.0,11.0,,8.0,,,,
imagej,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
implemented in,,,,,,,,,,,,,,10.0,,18.0,,17.0,,21.0,,16.0,,20.0,,37.0,,28.0,,31.0,,29.0,,31.0,,26.0,,,,
in silico,,,,,,,,,,,,,2.0,5.0,,13.0,1.0,12.0,7.0,13.0,5.0,13.0,2.0,11.0,2.0,18.0,3.0,11.0,2.0,10.0,2.0,11.0,3.0,14.0,5.0,10.0,,,,
matlab,,,,,,,,,,,,,,4.0,,6.0,,,,,,4.0,,,1.0,1.0,,1.0,,,,1.0,,1.0,,2.0,,,,
matplotlib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model,,1.0,1.0,,3.0,1.0,1.0,4.0,2.0,7.0,10.0,44.0,207.0,1068.0,225.0,1299.0,231.0,1193.0,200.0,1124.0,198.0,1249.0,161.0,1005.0,174.0,1174.0,165.0,1307.0,139.0,1196.0,152.0,1219.0,126.0,1206.0,130.0,1102.0,1.0,32.0,,
modeling,,,,,,,,,,,2.0,1.0,2.0,20.0,6.0,29.0,4.0,27.0,9.0,33.0,4.0,46.0,2.0,34.0,3.0,47.0,5.0,53.0,3.0,50.0,6.0,36.0,5.0,29.0,4.0,30.0,,1.0,,
modelling,,,,,1.0,,,,,1.0,3.0,8.0,102.0,298.0,103.0,422.0,125.0,363.0,94.0,336.0,123.0,421.0,76.0,334.0,80.0,342.0,76.0,397.0,70.0,357.0,66.0,431.0,59.0,396.0,55.0,366.0,,9.0,,
numpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvivo,,,,,,,,,1.0,,,,,2.0,3.0,9.0,1.0,6.0,,5.0,1.0,3.0,,4.0,,,3.0,6.0,1.0,11.0,2.0,10.0,1.0,4.0,1.0,4.0,,,,
open source,,,,,,,,,,,,,,10.0,,11.0,1.0,17.0,,9.0,4.0,15.0,1.0,7.0,3.0,22.0,2.0,17.0,,20.0,3.0,20.0,,15.0,,21.0,,,,
open-source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pipeline,,,,,,,,,,,,2.0,2.0,19.0,3.0,16.0,2.0,23.0,1.0,23.0,3.0,22.0,6.0,19.0,5.0,22.0,6.0,38.0,,38.0,3.0,39.0,5.0,56.0,3.0,54.0,,2.0,,
