,2001_title_%,2001_abstract_%,2002_title_%,2002_abstract_%,2003_title_%,2003_abstract_%,2004_title_%,2004_abstract_%,2005_title_%,2005_abstract_%,2006_title_%,2006_abstract_%,2007_title_%,2007_abstract_%,2008_title_%,2008_abstract_%,2009_title_%,2009_abstract_%,2010_title_%,2010_abstract_%,2011_title_%,2011_abstract_%,2012_title_%,2012_abstract_%,2013_title_%,2013_abstract_%,2014_title_%,2014_abstract_%,2015_title_%,2015_abstract_%,2016_title_%,2016_abstract_%,2017_title_%,2017_abstract_%,2018_title_%,2018_abstract_%
software,,,,,,,,,,2.5,0.48,3.8,0.78,5.43,0.24,6.33,,6.45,1.56,6.88,0.34,6.19,,4.41,0.89,6.53,,7.23,,7.12,0.32,5.19,,7.25,,
software developer,,,,,,,,,,,,,,0.26,,,,,,,,,,,,0.3,,0.3,,,,,,,,
software development,,,,,,,,,,,,,0.26,0.26,,0.24,,0.59,,0.62,,,,,,1.19,,0.3,,0.59,,,,0.36,,
programming,,,,,,,,,,,0.24,0.95,,0.52,,0.49,0.88,1.76,0.31,1.88,0.34,1.03,0.59,1.18,0.3,1.48,0.3,0.9,0.89,1.48,,1.95,0.36,,,
program,,,,,,,,12.5,,2.5,0.48,17.1,1.55,14.47,0.49,21.17,1.47,19.65,1.25,19.38,2.06,22.34,1.47,26.47,1.48,18.69,1.2,20.48,1.78,20.18,0.97,19.48,1.09,17.75,,16.67
computational,,,,,,,,,,5.0,0.24,3.56,0.78,5.68,1.22,7.06,,7.04,0.94,6.25,0.34,7.56,0.59,5.0,0.59,5.93,,4.82,0.3,10.68,0.32,9.74,0.36,10.14,,16.67
HPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high performance computing,,,,,,,,,,,,0.24,,0.52,,0.24,,0.29,,0.62,0.34,0.69,,,,0.59,0.3,0.6,0.3,0.3,,0.32,,0.36,,
simulation,,,,,,,,,,,0.48,4.75,0.26,8.79,0.73,7.06,0.59,8.21,0.62,5.31,2.06,8.59,0.59,7.35,0.89,4.75,0.6,5.42,0.3,7.42,,5.52,0.72,7.25,,
modeling,,,,,,,,,,,,0.95,,0.52,0.24,0.73,,1.17,0.31,2.81,,0.69,0.29,1.47,,,0.3,1.81,0.3,1.78,,0.32,,0.36,,
data visualisation,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,0.3,,0.3,,,0.36,,,
data visualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,
