,2000_title_count,2000_abstract_count,2001_title_count,2001_abstract_count,2002_title_count,2002_abstract_count,2003_title_count,2003_abstract_count,2004_title_count,2004_abstract_count,2005_title_count,2005_abstract_count,2006_title_count,2006_abstract_count,2007_title_count,2007_abstract_count,2008_title_count,2008_abstract_count,2009_title_count,2009_abstract_count,2010_title_count,2010_abstract_count,2011_title_count,2011_abstract_count,2012_title_count,2012_abstract_count,2013_title_count,2013_abstract_count,2014_title_count,2014_abstract_count,2015_title_count,2015_abstract_count,2016_title_count,2016_abstract_count,2017_title_count,2017_abstract_count,2018_title_count,2018_abstract_count,2019_title_count,2019_abstract_count,2021_title_count,2021_abstract_count
algorithm,,,,,,,,,,,,,1.0,44.0,2.0,39.0,,47.0,,29.0,2.0,41.0,3.0,42.0,5.0,39.0,,82.0,3.0,58.0,4.0,69.0,1.0,46.0,3.0,45.0,1.0,42.0,,,,
big data,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,1.0,1.0,17.0,34.0,23.0,72.0,18.0,63.0,13.0,56.0,13.0,53.0,8.0,33.0,,,,
beautifulsoup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
computation,,,,,1.0,,,,,,,1.0,9.0,60.0,9.0,50.0,10.0,64.0,5.0,52.0,5.0,36.0,5.0,46.0,3.0,45.0,8.0,63.0,3.0,56.0,3.0,62.0,15.0,31.0,6.0,39.0,,24.0,,,,
computational,,1.0,1.0,,,1.0,3.0,,3.0,4.0,1.0,8.0,32.0,195.0,36.0,217.0,42.0,233.0,20.0,227.0,27.0,228.0,18.0,221.0,23.0,194.0,25.0,264.0,24.0,236.0,25.0,304.0,27.0,240.0,25.0,244.0,13.0,126.0,,2.0,,
computed,,,,,,,,,,,,,,16.0,,19.0,,17.0,1.0,21.0,,20.0,3.0,23.0,,29.0,2.0,23.0,2.0,23.0,,20.0,1.0,15.0,3.0,26.0,,10.0,,,,
computer,,1.0,,1.0,,,,1.0,,6.0,1.0,14.0,20.0,412.0,13.0,384.0,14.0,386.0,7.0,330.0,21.0,352.0,12.0,305.0,8.0,375.0,10.0,431.0,11.0,340.0,9.0,340.0,6.0,303.0,3.0,279.0,2.0,141.0,,,,
computing,,,,,,,1.0,,,,,3.0,26.0,159.0,21.0,129.0,25.0,154.0,18.0,122.0,13.0,136.0,24.0,154.0,7.0,179.0,11.0,164.0,17.0,198.0,19.0,190.0,7.0,158.0,7.0,160.0,8.0,84.0,,,,
data analysis,,,,,,,,,,1.0,1.0,1.0,6.0,22.0,1.0,40.0,2.0,50.0,3.0,37.0,1.0,61.0,2.0,36.0,1.0,66.0,4.0,59.0,4.0,71.0,5.0,72.0,3.0,56.0,2.0,57.0,7.0,31.0,,1.0,,
data base,,,,,,,,,,,,,,3.0,,3.0,,2.0,,6.0,,7.0,,3.0,,6.0,,6.0,,5.0,,2.0,,2.0,,2.0,,1.0,,,,
database,,,,1.0,1.0,,,1.0,,,,2.0,8.0,75.0,2.0,100.0,9.0,116.0,5.0,86.0,8.0,96.0,3.0,89.0,14.0,115.0,6.0,135.0,7.0,141.0,8.0,110.0,5.0,107.0,6.0,114.0,1.0,42.0,,,,
microsoft excel,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
ms excel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
