,AHRC_count,BBSRC_count,EPSRC_count,ESRC_count,MRC_count,NC3Rs_count,NERC_count,STFC_count,Total
algorithm,3.0,37.0,351.0,4.0,11.0,1.0,33.0,20.0,460.0
big data,29.0,8.0,63.0,48.0,5.0,0.0,9.0,7.0,169.0
beautifulsoup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
computation,4.0,31.0,464.0,4.0,5.0,0.0,15.0,8.0,531.0
computational,47.0,463.0,1512.0,65.0,81.0,6.0,131.0,127.0,2432.0
computed,3.0,35.0,113.0,4.0,7.0,1.0,21.0,23.0,207.0
computer,132.0,467.0,1868.0,110.0,117.0,7.0,576.0,213.0,3490.0
computing,50.0,105.0,991.0,27.0,23.0,0.0,106.0,256.0,1558.0
data analysis,24.0,78.0,125.0,78.0,26.0,0.0,77.0,94.0,502.0
data base,2.0,1.0,5.0,6.0,1.0,0.0,16.0,3.0,34.0
database,229.0,188.0,203.0,117.0,67.0,4.0,206.0,17.0,1031.0
microsoft excel,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ms excel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fortran,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0
geographic information science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geographic information systems,5.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,14.0
gis,36.0,3.0,9.0,22.0,2.0,0.0,46.0,1.0,119.0
git,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
github,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
graphics,14.0,16.0,91.0,5.0,2.0,0.0,3.0,4.0,135.0
high performance computing,1.0,9.0,119.0,1.0,2.0,0.0,13.0,29.0,174.0
hpc,0.0,13.0,133.0,1.0,0.0,0.0,3.0,15.0,165.0
imagej,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
in silico,1.0,32.0,30.0,1.0,7.0,2.0,0.0,0.0,73.0
matlab,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,17.0
matplotlib,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modeling,5.0,61.0,184.0,20.0,13.0,3.0,135.0,21.0,442.0
modelling,66.0,518.0,2322.0,180.0,137.0,10.0,1362.0,169.0,4764.0
numpy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nvivo,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0
open source,20.0,36.0,81.0,11.0,3.0,2.0,21.0,19.0,193.0
open-source,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
programming language,2.0,2.0,57.0,0.0,0.0,0.0,4.0,0.0,65.0
python,0.0,0.0,14.0,0.0,0.0,0.0,0.0,6.0,20.0
quantitative analysis,4.0,20.0,28.0,33.0,4.0,0.0,11.0,3.0,103.0
r language,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
in r,3.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,12.0
scrapy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scipy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
simulated,3.0,65.0,159.0,20.0,11.0,1.0,155.0,27.0,441.0
simulation,16.0,94.0,1157.0,32.0,22.0,1.0,195.0,84.0,1601.0
software,133.0,357.0,1256.0,93.0,60.0,3.0,178.0,244.0,2324.0
spss,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
sqlalchemy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stata,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0
statistical,44.0,186.0,474.0,212.0,149.0,2.0,254.0,52.0,1373.0
supercomputer,0.0,5.0,50.0,0.0,2.0,0.0,10.0,23.0,90.0
supercomputing,0.0,7.0,26.0,1.0,0.0,0.0,7.0,6.0,47.0
visualisation,63.0,84.0,152.0,20.0,10.0,0.0,46.0,16.0,391.0
visualization,20.0,19.0,66.0,5.0,5.0,0.0,8.0,1.0,124.0
Rcpp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ggplot2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plyr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stringr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reshape2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RColorBrewer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
workflow,6.0,20.0,35.0,1.0,3.0,1.0,4.0,9.0,79.0
wxpython,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
