,all funders grants count,all funders grants %,AHRC grants count,AHRC grants %,BBSRC grants count,BBSRC grants %,EPSRC grants count,EPSRC grants %,ESRC grants count,ESRC grants %,MRC grants count,MRC grants %,NC3Rs grants count,NC3Rs grants %,NERC grants count,NERC grants %,STFC grants count,STFC grants %
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,2.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0
2005,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,5.0
2006,112.0,26.6,5.0,1.19,14.0,3.33,60.0,14.25,11.0,2.61,4.0,0.95,0.0,0.0,14.0,3.33,4.0,0.95
2007,109.0,28.17,9.0,2.33,4.0,1.03,61.0,15.76,5.0,1.29,2.0,0.52,0.0,0.0,18.0,4.65,10.0,2.58
2008,137.0,33.33,6.0,1.46,18.0,4.38,65.0,15.82,11.0,2.68,9.0,2.19,0.0,0.0,16.0,3.89,12.0,2.92
2009,113.0,33.14,7.0,2.05,11.0,3.23,57.0,16.72,6.0,1.76,4.0,1.17,0.0,0.0,10.0,2.93,18.0,5.28
2010,109.0,34.06,5.0,1.56,12.0,3.75,39.0,12.19,8.0,2.5,11.0,3.44,0.0,0.0,24.0,7.5,10.0,3.12
2011,105.0,36.08,5.0,1.72,18.0,6.19,51.0,17.53,4.0,1.37,3.0,1.03,0.0,0.0,16.0,5.5,8.0,2.75
2012,123.0,36.18,11.0,3.24,12.0,3.53,45.0,13.24,9.0,2.65,9.0,2.65,0.0,0.0,21.0,6.18,16.0,4.71
2013,99.0,29.38,9.0,2.67,15.0,4.45,36.0,10.68,7.0,2.08,8.0,2.37,0.0,0.0,19.0,5.64,5.0,1.48
2014,108.0,32.53,4.0,1.2,21.0,6.33,32.0,9.64,10.0,3.01,5.0,1.51,0.0,0.0,22.0,6.63,14.0,4.22
2015,120.0,35.61,4.0,1.19,20.0,5.93,52.0,15.43,9.0,2.67,10.0,2.97,0.0,0.0,10.0,2.97,15.0,4.45
2016,99.0,32.14,6.0,1.95,24.0,7.79,27.0,8.77,5.0,1.62,7.0,2.27,0.0,0.0,19.0,6.17,11.0,3.57
2017,98.0,35.51,9.0,3.26,19.0,6.88,40.0,14.49,7.0,2.54,4.0,1.45,0.0,0.0,11.0,3.99,8.0,2.9
2018,1.0,16.67,0.0,0.0,1.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
