,all funders grants count,all funders grants %,AHRC grants count,AHRC grants %,BBSRC grants count,BBSRC grants %,EPSRC grants count,EPSRC grants %,ESRC grants count,ESRC grants %,MRC grants count,MRC grants %,NC3Rs grants count,NC3Rs grants %,NERC grants count,NERC grants %,STFC grants count,STFC grants %
2000,4.0,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.38,0.0,0.0,0.0,0.0,0.0,0.0
2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,2.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.94,0.0,0.0,0.0,0.0,0.0,0.0
2003,5.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0
2004,14.0,9.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.15,0.0,0.0,0.0,0.0,0.0,0.0
2005,37.0,11.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,8.84,0.0,0.0,0.0,0.0,8.0,2.44
2006,1020.0,25.56,52.0,1.3,87.0,2.18,590.0,14.79,80.0,2.01,41.0,1.03,0.0,0.0,119.0,2.98,51.0,1.28
2007,1137.0,27.65,84.0,2.04,146.0,3.55,608.0,14.79,71.0,1.73,31.0,0.75,0.0,0.0,108.0,2.63,89.0,2.16
2008,1104.0,28.86,58.0,1.52,157.0,4.1,544.0,14.22,75.0,1.96,43.0,1.12,2.0,0.05,122.0,3.19,103.0,2.69
2009,994.0,29.57,41.0,1.22,106.0,3.15,509.0,15.14,57.0,1.7,53.0,1.58,1.0,0.03,102.0,3.03,125.0,3.72
2010,1069.0,32.19,55.0,1.66,149.0,4.49,458.0,13.79,53.0,1.6,56.0,1.69,1.0,0.03,219.0,6.59,78.0,2.35
2011,867.0,31.75,36.0,1.32,118.0,4.32,396.0,14.5,45.0,1.65,36.0,1.32,1.0,0.04,164.0,6.01,71.0,2.6
2012,1087.0,31.49,90.0,2.61,157.0,4.55,395.0,11.44,74.0,2.14,75.0,2.17,1.0,0.03,187.0,5.42,108.0,3.13
2013,1166.0,32.39,96.0,2.67,131.0,3.64,478.0,13.28,69.0,1.92,82.0,2.28,5.0,0.14,216.0,6.0,89.0,2.47
2014,1102.0,34.05,80.0,2.47,214.0,6.61,338.0,10.44,89.0,2.75,95.0,2.94,1.0,0.03,150.0,4.64,135.0,4.17
2015,1108.0,35.2,51.0,1.62,186.0,5.91,377.0,11.98,93.0,2.95,108.0,3.43,4.0,0.13,177.0,5.62,112.0,3.56
2016,1033.0,32.4,70.0,2.2,186.0,5.83,356.0,11.17,77.0,2.42,84.0,2.63,4.0,0.13,152.0,4.77,104.0,3.26
2017,982.0,34.54,80.0,2.81,154.0,5.42,400.0,14.07,71.0,2.5,62.0,2.18,3.0,0.11,125.0,4.4,87.0,3.06
2018,25.0,34.72,5.0,6.94,10.0,13.89,5.0,6.94,3.0,4.17,0.0,0.0,0.0,0.0,2.0,2.78,0.0,0.0
2019,1.0,50.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
