,2000_title_count,2000_abstract_count,2001_title_count,2001_abstract_count,2002_title_count,2002_abstract_count,2003_title_count,2003_abstract_count,2004_title_count,2004_abstract_count,2005_title_count,2005_abstract_count,2006_title_count,2006_abstract_count,2007_title_count,2007_abstract_count,2008_title_count,2008_abstract_count,2009_title_count,2009_abstract_count,2010_title_count,2010_abstract_count,2011_title_count,2011_abstract_count,2012_title_count,2012_abstract_count,2013_title_count,2013_abstract_count,2014_title_count,2014_abstract_count,2015_title_count,2015_abstract_count,2016_title_count,2016_abstract_count,2017_title_count,2017_abstract_count,2018_title_count,2018_abstract_count,2019_title_count,2019_abstract_count
software,,,,,,,,,,,,4.0,21.0,192.0,26.0,211.0,15.0,242.0,16.0,172.0,21.0,192.0,16.0,136.0,9.0,175.0,22.0,223.0,12.0,219.0,14.0,183.0,12.0,164.0,8.0,212.0,1.0,3.0,,
software developer,,,,,,,,,,,,,,2.0,,1.0,,2.0,,4.0,,2.0,,,,3.0,,5.0,,4.0,,8.0,,1.0,,3.0,,1.0,,
software development,,,,,,,,,,,,,1.0,11.0,5.0,14.0,1.0,8.0,,18.0,,15.0,,9.0,,8.0,1.0,20.0,1.0,14.0,,14.0,1.0,7.0,1.0,12.0,,,,
programming,,,,,1.0,,,,3.0,1.0,1.0,2.0,12.0,49.0,7.0,45.0,11.0,46.0,10.0,38.0,9.0,44.0,8.0,26.0,5.0,28.0,9.0,61.0,6.0,39.0,10.0,35.0,7.0,41.0,10.0,39.0,,1.0,,
program,,4.0,,,1.0,1.0,,5.0,4.0,11.0,1.0,28.0,37.0,605.0,31.0,669.0,38.0,663.0,58.0,637.0,35.0,663.0,47.0,491.0,44.0,692.0,38.0,707.0,54.0,681.0,43.0,668.0,29.0,644.0,27.0,581.0,,16.0,,
computational,,,,,,,,,1.0,1.0,1.0,3.0,28.0,188.0,26.0,217.0,34.0,210.0,17.0,199.0,16.0,217.0,12.0,198.0,21.0,193.0,20.0,233.0,13.0,202.0,19.0,275.0,20.0,216.0,15.0,199.0,,6.0,,1.0
HPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high performance computing,,,,,,,,,,,,,,5.0,,9.0,,13.0,,26.0,1.0,21.0,8.0,22.0,2.0,30.0,1.0,19.0,11.0,27.0,4.0,26.0,,10.0,,14.0,,,,
simulation,,,,,,,,,,,,,37.0,208.0,42.0,263.0,22.0,221.0,16.0,215.0,26.0,227.0,32.0,225.0,24.0,233.0,29.0,267.0,13.0,193.0,21.0,220.0,9.0,195.0,20.0,199.0,,5.0,,
modeling,,,,,,,,,,,2.0,1.0,2.0,20.0,6.0,29.0,4.0,27.0,9.0,33.0,4.0,46.0,2.0,34.0,3.0,47.0,5.0,53.0,3.0,50.0,6.0,36.0,5.0,29.0,4.0,30.0,,1.0,,
data visualisation,,,,,,,,,,,,,,2.0,,4.0,,,,2.0,,,,1.0,,6.0,,4.0,3.0,6.0,1.0,3.0,,1.0,1.0,4.0,,,,
data visualization,,,,,,,,,,,,,1.0,2.0,,,,,,1.0,,,,,,2.0,1.0,,,2.0,,1.0,,2.0,,3.0,,,,
