,2000_title_%,2000_abstract_%,2001_title_%,2001_abstract_%,2002_title_%,2002_abstract_%,2003_title_%,2003_abstract_%,2004_title_%,2004_abstract_%,2005_title_%,2005_abstract_%,2006_title_%,2006_abstract_%,2007_title_%,2007_abstract_%,2008_title_%,2008_abstract_%,2009_title_%,2009_abstract_%,2010_title_%,2010_abstract_%,2011_title_%,2011_abstract_%,2012_title_%,2012_abstract_%,2013_title_%,2013_abstract_%,2014_title_%,2014_abstract_%,2015_title_%,2015_abstract_%,2016_title_%,2016_abstract_%,2017_title_%,2017_abstract_%,2018_title_%,2018_abstract_%,2019_title_%,2019_abstract_%
software,,,,,,,,,,,,1.22,0.53,4.81,0.63,5.13,0.39,6.33,0.48,5.12,0.63,5.78,0.59,4.98,0.26,5.07,0.61,6.19,0.37,6.77,0.44,5.81,0.38,5.14,0.28,7.46,1.39,4.17,,
software developer,,,,,,,,,,,,,,0.05,,0.02,,0.05,,0.12,,0.06,,,,0.09,,0.14,,0.12,,0.25,,0.03,,0.11,,1.39,,
software development,,,,,,,,,,,,,0.03,0.28,0.12,0.34,0.03,0.21,,0.54,,0.45,,0.33,,0.23,0.03,0.56,0.03,0.43,,0.44,0.03,0.22,0.04,0.42,,,,
programming,,,,,1.47,,,,1.96,0.65,0.3,0.61,0.3,1.23,0.17,1.09,0.29,1.2,0.3,1.13,0.27,1.32,0.29,0.95,0.14,0.81,0.25,1.69,0.19,1.21,0.32,1.11,0.22,1.29,0.35,1.37,,1.39,,
program,,15.38,,,1.47,1.47,,9.09,2.61,7.19,0.3,8.54,0.93,15.16,0.75,16.27,0.99,17.33,1.73,18.95,1.05,19.96,1.72,17.98,1.27,20.05,1.06,19.64,1.67,21.04,1.37,21.22,0.91,20.2,0.95,20.44,,22.22,,
computational,,,,,,,,,0.65,0.65,0.3,0.91,0.7,4.71,0.63,5.28,0.89,5.49,0.51,5.92,0.48,6.53,0.44,7.25,0.61,5.59,0.56,6.47,0.4,6.24,0.6,8.74,0.63,6.78,0.53,7.0,,8.33,,50.0
HPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high performance computing,,,,,,,,,,,,,,0.13,,0.22,,0.34,,0.77,0.03,0.63,0.29,0.81,0.06,0.87,0.03,0.53,0.34,0.83,0.13,0.83,,0.31,,0.49,,,,
simulation,,,,,,,,,,,,,0.93,5.21,1.02,6.4,0.58,5.78,0.48,6.4,0.78,6.84,1.17,8.24,0.7,6.75,0.81,7.42,0.4,5.96,0.67,6.99,0.28,6.12,0.7,7.0,,6.94,,
modeling,,,,,,,,,,,0.61,0.3,0.05,0.5,0.15,0.71,0.1,0.71,0.27,0.98,0.12,1.39,0.07,1.24,0.09,1.36,0.14,1.47,0.09,1.55,0.19,1.14,0.16,0.91,0.14,1.06,,1.39,,
data visualisation,,,,,,,,,,,,,,0.05,,0.1,,,,0.06,,,,0.04,,0.17,,0.11,0.09,0.19,0.03,0.1,,0.03,0.04,0.14,,,,
data visualization,,,,,,,,,,,,,0.03,0.05,,,,,,0.03,,,,,,0.06,0.03,,,0.06,,0.03,,0.06,,0.11,,,,
