,all funders software spend,all funders spend,software spend as percentage of spend on all grants,AHRC total spend,AHRC software spend,AHRC software spend %,BBSRC total spend,BBSRC software spend,BBSRC software spend %,EPSRC total spend,EPSRC software spend,EPSRC software spend %,ESRC total spend,ESRC software spend,ESRC software spend %,MRC total spend,MRC software spend,MRC software spend %,NC3Rs total spend,NC3Rs software spend,NC3Rs software spend %,NERC total spend,NERC software spend,NERC software spend %,STFC total spend,STFC software spend,STFC software spend %
2000,583876.2556818181,3757979.0708277836,15.54,,,,,,,,,,,,,3757979.070827783,583876.2556818181,15.54,,,,,,,,,
2001,985948.7318722943,14394319.466931678,6.85,,,,,,,,,,,,,14394319.466931678,985948.7318722943,6.85,,,,,,,,,
2002,2467634.4985389607,23251498.362169776,10.61,,,,,,,,,,,,,23251498.362169772,2467634.4985389607,10.61,,,,,,,,,
2003,4557846.0977453105,29792870.287566595,15.3,,,,,,,,,,,,,29475239.468122154,4399290.6533008665,14.93,,,,,,,317630.81944444444,158555.44444444444,49.92
2004,8073025.640602454,44377635.99232851,18.19,,,,,,,,,,,,,42297106.3157412,6476012.029491343,15.31,,,,,,,2080529.6765873015,1597013.611111111,76.76
2005,19237178.26560245,78657623.5673285,24.46,,,,,,,,,,,,,72973777.63836025,16176724.921158008,22.17,,,,,,,5683845.928968254,3060453.3444444444,53.84
2006,217308370.12205988,385492875.41902405,56.37,15921724.64047619,7841254.433333334,49.25,46470115.02380953,24712938.914285716,53.18,129636849.04296538,95096671.1310606,73.36,23960573.47857143,12443106.454761904,51.93,112896529.1828047,32808592.344173882,29.06,,,,13590759.333333332,10414597.228571428,76.63,43016324.717063494,33991209.61587302,79.02
2007,429321135.2244408,696045545.5577602,61.68,34304044.94047619,22795011.716666665,66.45,110735925.53928572,70717761.19047618,63.86,249779256.96082252,179231186.59415585,71.76,52607986.616666675,29768316.83095238,56.59,144687773.52273142,51413775.070364356,35.53,,,,34372987.010714285,27148860.17261905,78.98,69557570.96706349,48246223.649206355,69.36
2008,655881479.6321249,1002559763.8392539,65.42,40261755.75595238,28751473.324999996,71.41,164758013.8845238,111330646.10238095,67.57,377208609.805267,278340051.6060606,73.79,87879690.65238094,51364834.157142855,58.45,178643004.56400126,72875391.10369769,40.79,619980.25,619980.25,100.0,53294943.63214286,42138127.74404762,79.07,99893765.29498556,70460975.34379509,70.54
2009,799215982.3964105,1214555211.7178252,65.8,41266034.760714285,29826881.36309524,72.28,198053703.8702381,135518687.42380953,68.43,454112618.0886003,334976259.0989178,73.77,103526833.34047619,58154751.5952381,56.17,207740749.01201716,89660223.69774531,43.16,1698217.35,1527100.5166666666,89.92,70387986.15357143,53912941.748809524,76.59,137769069.1422078,95639136.95212843,69.42
2010,882854407.1852994,1324708723.0721905,66.65,43333385.327380955,32751098.213095237,75.58,206369700.4940476,147892380.55714285,71.66,522158145.87074316,385002997.037013,73.73,112656165.02777779,64087127.74920635,56.89,228374695.72709653,98494941.83425325,43.13,2992534.8833333333,2482469.283333333,82.96,88197930.13531744,69737976.06388888,79.07,120626165.6064935,82405416.44736652,68.31
2011,889611104.3871392,1299786537.3700259,68.44,37885951.891666666,29284681.127380952,77.3,192658782.97142857,140196533.39880955,72.77,519578729.5098125,393932879.0582251,75.82,111019420.76111111,63363261.7015873,57.07,229945525.90610087,101415631.2077381,44.1,3900387.5833333335,3003584.4833333334,77.01,95718692.22222221,78300650.51269841,81.8,109079046.52435064,80113882.89736652,73.45
2012,949516736.8834956,1354032448.2046938,70.13,43009085.49166667,33355239.044047616,77.55,193712549.44166666,140259390.44285715,72.41,535085615.96955264,410158194.46926403,76.65,114274149.90158731,69354051.88015872,60.69,238579220.9873779,111447078.38273808,46.71,4057180.9833333334,2929503.216666667,72.21,108060357.16865079,90226586.41150793,83.5,117254288.2608586,91786693.03625542,78.28
2013,1024582176.9458334,1425047915.1767054,71.9,50540621.66785714,41329728.06071429,81.78,206133784.5297619,147343873.3642857,71.48,576404604.969769,447473510.6554113,77.63,127716053.37777779,77677966.76111111,60.82,252852620.74012515,138471890.8732143,54.76,4760344.233333333,3572375.6333333333,75.04,121168382.25436507,103763377.78531745,85.64,85471503.40371573,64949453.81244589,75.99
2014,1106921267.965855,1498052241.5975926,73.89,58315530.71785715,47339530.64404762,81.18,247599856.06071427,178848146.63809526,72.23,553191769.9263709,439938492.1849567,79.53,148885540.24444443,98014047.02301587,65.83,278974621.9663156,168276884.62083334,60.32,4632351.5,3716844.8,80.24,119973793.13531746,103854495.96626984,86.56,86478778.04657286,66932826.08863636,77.4
2015,1254226850.460155,1670050853.8958611,75.1,55041775.46071429,44189408.99404762,80.28,261534079.05714285,190637776.4095238,72.89,594570427.4317821,473022123.3487013,79.56,151991532.07539684,109832922.23015872,72.26,380942525.7020299,243072315.38591272,63.81,4522707.05,4143232.9499999993,91.61,121002529.26984127,108823590.56746031,89.93,100445277.84895381,80505480.57435066,80.15
2016,1320966584.4869409,1753302750.9238374,75.34,58756338.81428571,45799100.59761904,77.95,262880435.13809526,191155967.22142857,72.72,668842268.8579726,512108800.87132037,76.57,154335009.93730158,118597501.37539682,76.84,362427072.5621489,241451234.83412698,66.62,4271699.85,3997853.083333333,93.59,137394424.83174604,123876791.62936507,90.16,104395500.93228716,83979334.87435065,80.44
2017,1295286241.6862917,1719595184.3969975,75.33,63930042.96428572,49382494.21428572,77.24,264673430.8142857,189456606.63809523,71.58,699118903.5843074,530325731.03733766,75.86,162476816.19444442,125701464.5325397,77.37,277616701.59111726,184947634.70674604,66.62,3806870.033333333,3597502.2666666666,94.5,146252653.07222223,131913283.06984127,90.2,101719766.14300144,79961525.22077921,78.61
2018,1023374890.7362914,1355907164.2092988,75.48,47691919.8,36953437.25,77.48,209208929.17857143,151031667.8047619,72.19,555121639.7831168,415255094.53733766,74.8,132937982.44444443,102606564.73015875,77.18,215965205.83873624,147510248.8138889,68.3,2859083.033333333,2649715.2666666666,92.68,115726698.37698413,105401491.94603175,91.08,76395705.75411254,61966670.38744588,81.11
